reference,x,Autres,Agrosemens,Bejo,Autres,HM Clause,Clémence Martinez,De Bolster,DLF,Autres,Econseeds,Essem'Bio,FSM,Gautier,Genetic et Distribution,Girerd,Graines Voltz,GSN,Autres,Johnny's Seeds,Kings Seeds,Autres,Legutko,KWS,MoravoSeed,L'Aubépin,Pieterpikzonen,Pro-Veg Seeds,Pyren'Alliance,Rocalba,Sakata,Sativa Suisse,Sativa Italia,Van Waveren,Vilmorin,Autres
2-067,Chou cabus Passat F1 Bio,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-088,Chou cabus Quintal d'Alsace,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,
2-040,Chou Chinois Granaat Bio,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-384,Chou Chinois Hilton,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,
1-130,Chou Chinois Mei Qing Choï F1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
1-095,Chou Chinois Pak Choï,,,,,,,x,,,,,,,,,,x,,,,,x,,,,x,,,,,,x,,,
1-439,Chou Chinois Pak Choï 'Arax',,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
1-390,Chou Chinois Paket,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
1-096,Chou Chinois Pe tsaï Michihili,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,
1-410,Chou Chinois Scarvita F1,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
2-107,Chou d'hiver Deadon F1 Bio,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-365,Chou de Bruxelles Dolores F1,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
1-372,Chou de Bruxelles Groninger,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
1-366,Chou de Bruxelles Red,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
1-094,Chou de Bruxelles Sanda,,,,,x,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,
1-081,Chou de Milan d'Aubervilliers,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,x,,,
1-082,Chou de Milan de Pontoise,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
1-083,Chou de Milan Gros des Vertus,,,,,x,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,
2-068,Chou de Milan Gros des Vertus 2 Bio,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,
1-246,Chou de Milan Roi de l'Hiver 2,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,
1-101,Chou fourrager Proteor (type Prover),,,,,x,,,,,,,,,,,,x,,,,,x,,,,x,,,,,,,,,
1-342,Chou kale Kadet,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
1-343,Chou kale Sympatic,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
2-056,Chou Kale Westlandse Winter Bio,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-279,Chou palmier Noir de Toscane Bio,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
1-089,Chou pointu Bacalan de Rennes,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
2-037,Chou pointu Coeur de Boeuf Bio,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
1-079,Chou pointu Express,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
2-038,Chou pointu Précoce de Louviers Bio,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
1-084,Chou romanesco Natalino,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,
1-381,Chou rouge Haco,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
1-367,Chou rouge Kalibos,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
2-237,Chou rouge précoce de Langedijk Bio,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
1-345,Chou rouge Rufus,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
1-080,Chou rouge Tête Noire,,,,,x,,,,,,,,,,,,x,,,,,x,,,,,,,,,,x,,,
1-086,Chou-fleur Géant d'Automne 4,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
1-087,Chou-fleur Merveille de toutes saisons,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,
1-434,Chou-fleur Parmac F1,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
2-229,Chou-fleur Tardif d'Angers Bio,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
1-090,Chou-fleur Vert de Macerata,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,
2-266,Chou-fleur Violet de Sicile Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
1-436,Chou-navet (rutabaga) Dalibor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-098,Chou-navet Champion à  collet rouge,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,
2-062,Chou-navet Helenor Bio,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
1-099,Chou-rave Blanc de Vienne,,,,,,,,,,,,,,,,,x,,,,,x,,,,x,,,,,,x,,,
2-119,Chou-rave Blaril Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
2-122,Chou-rave Blaro Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
2-284,Chou-rave Dyna Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
1-442,Chou-rave Quick Star F1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
2-041,Chou-rave Superschmelz Bio,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-100,Chou-rave Violet de Vienne,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,x,,,
4-045,Chrysanthème comestible Bio,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
1-010,Ciboule Blanche hâtive,,,,,x,,,,,,,,,,,,x,,,,,x,,,,x,,,,,,,,,
1-011,Ciboule Rouge,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,
2-290,Ciboulette Bio,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,
1-012,Ciboulette très fine Danoise,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
2-043,Concombre Blanc Hâtif Bio,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
2-042,Concombre cocktail Zehneria Scabra Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
1-425,Concombre du Kenya (Kiwano),,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,
2-045,Concombre Gele Tros Bio,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-250,Concombre La Diva F1,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x
1-102,Concombre Lemon,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-103,Concombre Marketer,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,
2-044,Concombre Marketmore Bio,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,
1-351,Concombre Nimrod F1,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
1-104,Concombre Raider F1,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-047,Concombre Rollinson's Télégraph Bio,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-048,Concombre Sonja Bio,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
1-105,Concombre Tanja,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
1-293,Concombre Tribute F1,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,
1-106,Concombre Vert long de Chine,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,
1-107,Concombre Vert Long Maraà®cher,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,
4-024,Coquelicot des Moissons Bio,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
2-114,Coqueret du Pérou Bio,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
4-052,Coréopsis annuel Bio,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
1-013,Verte Petite D'Alger,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,
2-008,Coriandre Cultivée Bio,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,
1-391,Cornichon Amélioré de Bourbonne,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
2-220,Cornichon Fin de Meaux Bio,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
2-049,Cornichon Hokus Bio,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-110,Cornichon vert petit de Paris,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,
4-009,Cosmos 'Double Click Cranberries',,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-010,Cosmos 'Double Click Rose Bonbon',,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-011,Cosmos 'Double Click Snow Puff',,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-012,Cosmos 'Double Click' en mélange,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
