reference,x,Autres,Agrosemens,Bejo,Autres,HM Clause,Clémence Martinez,De Bolster,DLF,Autres,Econseeds,Essem'Bio,FSM,Gautier,Genetic et Distribution,Girerd,Graines Voltz,GSN,Autres,Johnny's Seeds,Kings Seeds,Autres,Legutko,KWS,MoravoSeed,L'Aubépin,Pieterpikzonen,Pro-Veg Seeds,Pyren'Alliance,Rocalba,Sakata,Sativa Suisse,Sativa Italia,Van Waveren,Vilmorin,Autres
1-214,Radis Rose de Pâques,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,
2-254,Radis Saxa 2 Bio,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,x,,,,
1-218,Radis Violet de Gournay,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,
1-435,Radis violet Diana,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
4-049,"Reine-marguerite Matsumoto, en mélange",,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
1-024,Roquette cultivée,,,,,,,,,,,,,,,x,,x,,,,,x,,,,x,,,,,,x,,,
2-014,Roquette cultivée Bio,,,,,x,,x,,,,,,,,,,,,,,,x,,,,x,,,,,x,x,,,
1-025,Roquette sauvage,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,x,,,
2-232,Roquette sauvage Bio,,,,,,,x,,,,,,,,,,,,,,,x,,,,x,,,,,x,,,,
4-054,Rose trémière simple variée,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
4-043,Rubeckia pourpre ,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
1-220,Salsifis Blanc Mammouth,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
2-261,Sarrasin Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
2-015,Sarriette Annuelle Bio,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-026,Sauge officinale ,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
2-016,Sauge officinale Bio,,,,,,,x,,,,,,,,x,,,,,,,x,,,,x,,,,,x,,,,
1-221,Scorsonère Géante Noire de Russie,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,
4-041,Souci Corniche d'Or Bio,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
4-040,Souci double varié Bio,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
4-037,Souci Pink Surprise,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
4-048,Tabac d'ornement citron vert (Lime Green),,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
4-021,Tagetes (oeillet d'Inde) 'Firebird',,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
4-020,Tagetes (oeillet d'Inde) 'Goldiluxe',,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
4-006,Tagetes (rose d'Inde) 'Kushi Mix',,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
1-222,Tétragone cornue,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,
1-027,Thym d'hiver,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
2-025,Thym d'hiver Bio,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,
1-028,Thym de Provence,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,
2-140,Tomate Ananas Bio,,x,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,
2-141,Tomate Ananas Noire Bio,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
2-142,Tomate Andine Cornue Bio,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
2-250,Tomate Apero F1 Bio,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
1-284,Tomate ARTISAN Blush Tiger,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,
1-281,Tomate ARTISAN Golden Bumble Bee,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,
1-282,Tomate ARTISAN Green Tiger,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,
1-285,Tomate ARTISAN Lucky Tiger,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,
1-279,Tomate ARTISAN Pink Bumble Bee,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,
1-283,Tomate ARTISAN Pink Tiger,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,
1-280,Tomate ARTISAN Purple Bumble Bee,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,
1-299,Tomate Baby Boomer F1,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
2-143,Tomate Banana Leg Bio,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
2-207,Tomate Bawole Serve Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-144,Tomate Beauté Blanche Bio,,x,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,
2-145,Tomate Beefsteak Bio,,,,,,x,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,
1-300,Tomate Big Daddy F1,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
1-301,Tomate Big Mama F1,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
1-310,Tomate Big Pink F1,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
2-146,Tomate Black Cherry Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
1-321,Tomate Black from Tula,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
1-400,Tomate Black Opal,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,
2-179,Tomate Black Zebra Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
1-302,Tomate Bountiful F1,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
2-195,Tomate Brad's Black Heart Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-303,Tomate Brandy Boy F1,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
2-147,Tomate Brandywine Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
1-344,Tomate Brutus,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,
2-148,Tomate Burbank Bio,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-304,Tomate BushSteak F1,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
1-223,Tomate Cerise,,,,,x,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,
2-268,Tomate Cerise rouge Bio,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-150,Tomate Cerisette Brin de Muguet Bio,,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
1-305,Tomate Cherokee Purple,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
1-353,Tomate Cherry Baby F1,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
1-314,Tomate Chocolate Cherry,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
2-151,Tomate Cocktail Clémentine Bio,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-224,Tomate Coeur de Boeuf,,,,,,,,,,,,,,,,,x,,,,,x,,,,x,,,,,,,,,
2-152,Tomate Coeur de Boeuf Bio,,,,,x,x,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
2-196,Tomate Coeur de Boeuf Blanc Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-231,Tomate Costoluto Fiorentino Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
2-153,Tomate de Berao Bio,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
1-306,Tomate Delicious,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
2-154,Tomate Evergreen Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
1-322,Tomate Figiel,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
1-225,Tomate Galapagos,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,
1-401,Tomate Garnet,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,
1-307,Tomate Gigantomo F1,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
2-199,Tomate Glacier Bio,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
2-209,Tomate Goldene Kà¶nigin Bio,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-308,Tomate Green Envy,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
2-155,Tomate Green Zebra Bio,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-200,Tomate Gregory Altaï Bio,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
1-373,Tomate Herodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-352,Tomate Honey Delight F1,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
1-404,Tomate Honey Moon F1,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-429,Tomate Honeycomb F1,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
1-244,Tomate Hugo,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
1-286,Tomate INDIGO Apple,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,
1-289,Tomate INDIGO Blue Beauty,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,
1-287,Tomate INDIGO Blue Berries,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,
1-291,Tomate INDIGO Cherry Drops,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,
1-290,Tomate INDIGO Pear Drops,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,
1-288,Tomate INDIGO Rose,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,
2-156,Tomate jaune Vincent Bio,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,
2-193,Tomate Joie de la Table Bio,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
1-311,Tomate Knockout (ex-Porterhouse) F1,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
2-157,Tomate La Carotina Bio,,x,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,
2-283,Tomate Liguria Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-323,Tomate Malinowy Ozarowski,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
1-226,Tomate Marmande VR,,,,,,,,,,,,,,,,,x,,,,,x,,,,x,,,,,,,,,
2-161,Tomate Marmande VR Bio,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,
2-162,Tomate Merveille des Marchés Bio,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
2-163,Tomate Miel du Mexique Bio,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
2-164,Tomate Mirabelle blanche Bio,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
2-165,Tomate Money Maker Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
1-227,Tomate Montfavet 63/5 F1,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
1-114,Tomate Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,
2-198,Tomate Moon Glow Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-166,Tomate Noire de Crimée Bio,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,
2-167,Tomate Noire Russe Charbonneuse Bio,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
2-158,Tomate Orange Banana Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-309,Tomate Orange Wellington F1,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
2-168,Tomate Osu Blue Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-194,Tomate Oxheart Striped Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-170,Tomate Pàªche jaune Bio,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-169,Tomate Pàªche rouge Bio,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
1-448,Tomate Pepe F1,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
2-184,Tomate Perle de Lait Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
2-172,Tomate Petit Coeur de Boeuf Bio,,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
1-228,Tomate Pink Thai Egg,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,
1-292,Tomate Poire Chocolat,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,
2-173,Tomate Poire Jaune Bio,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,
2-174,Tomate Poire Rouge Bio,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
2-175,Tomate Potiron Ecarlate Bio,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,
2-176,Tomate Prune Noire Bio,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,
2-177,Tomate Purple Calabash Bio,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
2-180,Tomate Reine des Hâtives Bio,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
1-229,Tomate Roma VF,,,,,x,,,,,,,,,,,,x,,,,,x,,,,x,,,,,,x,,,
2-182,Tomate Rose de Berne Bio,,,,,,x,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,
1-402,Tomate Rosella,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,
1-453,Tomate Rubylicious,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
2-183,Tomate Russe Rouge Bio,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
1-230,Tomate Saint Pierre,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
2-185,Tomate Saint Pierre Bio,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,
2-159,Tomate Sainte Lucie Bio,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-186,Tomate San Marzano 2 Bio,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,
1-418,Tomate Shimmer F1,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
1-450,Tomate Stargold F1,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
1-449,Tomate Sungold F1,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
1-403,Tomate Sweet Aperitif,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,
2-187,Tomate Sweet Baby Bio,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-188,Tomate Tàªton de Vénus jaune Bio,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-189,Tomate Tigerella Bio,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-231,Tomate Tiny Tim,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,
1-312,Tomate Tomande F1,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
2-197,Tomate Verna Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-190,Tomate Voyage Bio,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,
1-313,Tomate White Cherry,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
2-191,Tomate Yellow Giant Belgium Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-192,Tomate Zuckertraube Bio,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-115,Tomatillo pourpre Bio,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
2-272,Trèfle incarnat Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
4-023,Verbascum (molène) 'Snowy Spires',,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
2-263,Vesce d'hiver Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
4-039,Vipérine Bio,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
4-005,Zinnia 'Andes Jewel',,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
4-003,Zinnia 'Forecast Mix',,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
4-001,Zinnia 'Pinwheel Mix',,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
4-014,Zinnia 'Pop Art Blanc et Rouge',,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-013,Zinnia 'Pop Art Rouge et Or',,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-035,"Oeillet de poète, mélange Etournelle",,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
