ID,ref,Sous-catégorie,Variété,,Nom,Title,Type variétal,Production,Conditionnement,Fournisseur,Prix d'achat,Prix de vente,impact sur le poids,EAN,Meta-title
2548,,355,Petit Marseillais,Plant de ,355Petit Marseillais,Plant de Poivron Petit Marseillais,Traditionnel,10415,10515,21,0.56,2.80,0.20,3701450220006,Nos plants potagers en godet de Poivron Petit Marseillais - La Bonne Graine
2634,,355,Snackor Orange F1 (Flynn F1),Plant de ,355Snackor Orange F1 (Flynn F1),Plant de Poivron Snackor Orange F1 (Flynn F1),Hybride,10415,10515,21,01.09,2.90,0.20,3701450220075,Nos plants potagers en godet de Poivron Snackor Orange F1 (Flynn F1) - La Bonne Graine
2637,,355,Snackor Red F1 (Arwen F1),Plant de ,355Snackor Red F1 (Arwen F1),Plant de Poivron Snackor Red F1 (Arwen F1),Hybride,10415,10515,21,01.08,2.90,0.20,3701450220082,Nos plants potagers en godet de Poivron Snackor Red F1 (Arwen F1) - La Bonne Graine
3334,,355,Afterglow F1,Plant de ,355Afterglow F1,Plant de Poivron Afterglow F1,Hybride,10415,10515,21,0.97,2.90,0.20,3701450220099,Nos plants potagers en godet de Poivron Afterglow F1 - La Bonne Graine
3537,,355,Elsa F1,Plant de ,355Elsa F1,Plant de Poivron Elsa F1,Hybride,10415,10515,67,0.85,2.90,0.20,3701450220105,Nos plants potagers en godet de Poivron Elsa F1 - La Bonne Graine
3544,,355,Lilo F1,Plant de ,355Lilo F1,Plant de Poivron Lilo F1,Hybride,10415,10515,67,0.85,2.90,0.20,3701450220112,Nos plants potagers en godet de Poivron Lilo F1 - La Bonne Graine
3546,,355,Olly F1,Plant de ,355Olly F1,Plant de Poivron Olly F1,Hybride,10415,10515,67,0.85,2.90,0.20,3701450220129,Nos plants potagers en godet de Poivron Olly F1 - La Bonne Graine
3547,,355,Waldo F1,Plant de ,355Waldo F1,Plant de Poivron Waldo F1,Hybride,10415,10515,67,0.85,2.90,0.20,3701450220136,Nos plants potagers en godet de Poivron Waldo F1 - La Bonne Graine
3731,,355,Dinero F1,Plant de ,355Dinero F1,Plant de Poivron Dinero F1,Hybride,10415,10515,21,0.89,2.90,0.20,3701450220143,Nos plants potagers en godet de Poivron Dinero F1 - La Bonne Graine
185,,351,Potimarron Uchiki Kuri,Plant de ,Potimarron Uchiki Kuri,Plant de Potimarron Uchiki Kuri,,10415,10515,79,0.00,2.80,0.20,3701450220150,Nos plants potagers en godet de Potimarron Uchiki Kuri - La Bonne Graine
